studio,domestic_gross,foreign_gross,total_gross
Vari.,100000.0,62900000.0,63000000.0
TriS,36700000.0,24300000.0,61000000.0
WB,39000000.0,21100000.0,60100000.0
Focus,13800000.0,45500000.0,59300000.0
CL,151000.0,58200000.0,58351000.0
ORF,25100000.0,31300000.0,56400000.0
WB,31800000.0,23400000.0,55200000.0
FoxS,13300000.0,41000000.0,54300000.0
LGF,53300000.0,816000.0,54116000.0
IM,460000.0,51300000.0,51760000.0
BV,26700000.0,23200000.0,49900000.0
LGF,21300000.0,27500000.0,48800000.0
TriS,43900000.0,3200000.0,47100000.0
CJ,251000.0,45800000.0,46051000.0
WB,33000000.0,12700000.0,45700000.0
Focus,31200000.0,14500000.0,45700000.0
CBS,27900000.0,15300000.0,43200000.0
SPC,4000000.0,38200000.0,42200000.0
WB,25900000.0,15600000.0,41500000.0
Elev.,134000.0,41000000.0,41134000.0
BV,18300000.0,22700000.0,41000000.0
Sony,37100000.0,3500000.0,40600000.0
SGem,37300000.0,3200000.0,40500000.0
Rela.,18900000.0,21300000.0,40200000.0
Fox,23200000.0,16500000.0,39700000.0
Sum.,35000000.0,4200000.0,39200000.0
BV,21400000.0,17600000.0,39000000.0
Uni.,21300000.0,17200000.0,38500000.0
TriS,37300000.0,415000.0,37715000.0
FD,24000000.0,12900000.0,36900000.0
Eros,2500000.0,33400000.0,35900000.0
WB,35100000.0,326000.0,35426000.0
Wein.,14600000.0,20500000.0,35100000.0
Fox,30400000.0,4500000.0,34900000.0
Focus,11200000.0,23500000.0,34700000.0
TriS,34500000.0,0.0,34500000.0
Vari.,66100.0,33600000.0,33666100.0
BV,15400000.0,15400000.0,30800000.0
SPC,3200000.0,27700000.0,30900000.0
Wein.,9700000.0,20900000.0,30600000.0
Fox,14000000.0,16399999.0,30399999.0
Sum.,10700000.0,18200000.0,28900000.0
SPC,2500000.0,25100000.0,27600000.0
SPC,5700000.0,21800000.0,27500000.0
Uni.,16900000.0,10500000.0,27400000.0
Focus,19500000.0,7600000.0,27100000.0
